name,owner,player_1,player_2,player_3,player_4,player_5,player_6,player_7,player_8,player_9,player_10,player_11,bonus
A very very very very very long team name,Ben Magnin,Danny Jones,Zander Snow,Alex Cook,Jack Perry,James Wilby,Alex Fallon,Leon Coles,Ollie Searle,Reece Evans,Alex Hill,James Bean,Alex Hill
Finding Timo,Ben Magnin1,Ollie Booth,Zander Snow,Zander Snow,Zander Snow,James Wilby,Alex Fallon,Leon Coles,Ollie Searle,Reece Evans,Alex Hill,James Bean,Alex Hill
Finding Timo,Ben Magnin2,Ollie Booth,Zander Snow,Zander Snow,Zander Snow,James Wilby,Alex Fallon,Leon Coles,Ollie Searle,Reece Evans,Alex Hill,James Bean,Alex Hill
Finding Timo,Ben Magnin3,Ollie Booth,Zander Snow,Zander Snow,Zander Snow,James Wilby,Alex Fallon,Leon Coles,Ollie Searle,Reece Evans,Alex Hill,James Bean,Alex Hill
Finding Timo,Ben Magnin4,Ollie Booth,Zander Snow,Zander Snow,Zander Snow,James Wilby,Alex Fallon,Leon Coles,Ollie Searle,Reece Evans,Alex Hill,James Bean,Alex Hill
Finding Timo,Ben Magnin5,Ollie Booth,Zander Snow,Zander Snow,Zander Snow,James Wilby,Alex Fallon,Leon Coles,Ollie Searle,Reece Evans,Alex Hill,James Bean,Alex Hill
Finding Timo,Ben Magnin6,Ollie Booth,Zander Snow,Zander Snow,Zander Snow,James Wilby,Alex Fallon,Leon Coles,Ollie Searle,Reece Evans,Alex Hill,James Bean,Alex Hill
Finding Timo,Ben Magnin7,Ollie Booth,Zander Snow,Zander Snow,Zander Snow,James Wilby,Alex Fallon,Leon Coles,Ollie Searle,Reece Evans,Alex Hill,James Bean,Alex Hill
Finding Timo,Ben Magnin8,Ollie Booth,Zander Snow,Zander Snow,Zander Snow,James Wilby,Alex Fallon,Leon Coles,Ollie Searle,Reece Evans,Alex Hill,James Bean,Alex Hill
Finding Timo,Ben Magnin9,Ollie Booth,Zander Snow,Zander Snow,Zander Snow,James Wilby,Alex Fallon,Leon Coles,Ollie Searle,Reece Evans,Alex Hill,James Bean,Alex Hill
Finding Timo,Ben Magnin10,Ollie Booth,Zander Snow,Zander Snow,Zander Snow,James Wilby,Alex Fallon,Leon Coles,Ollie Searle,Reece Evans,Alex Hill,James Bean,Alex Hill
Finding Timo,Ben Magnin11,Ollie Booth,Zander Snow,Zander Snow,Zander Snow,James Wilby,Alex Fallon,Leon Coles,Ollie Searle,Reece Evans,Alex Hill,James Bean,Alex Hill
Finding Timo,Ben Magnin12,Ollie Booth,Zander Snow,Zander Snow,Zander Snow,James Wilby,Alex Fallon,Leon Coles,Ollie Searle,Reece Evans,Alex Hill,James Bean,Alex Hill
Finding Timo,Ben Magnin13,Ollie Booth,Zander Snow,Zander Snow,Zander Snow,James Wilby,Alex Fallon,Leon Coles,Ollie Searle,Reece Evans,Alex Hill,James Bean,Alex Hill
