Player Name	Position	Team	Price	Total Points	Points Per Game	Games Played	MOTM Votes	Goals	Assists	Clean Sheets	Yellow Cards	Red Cards
Tom Callaway	FOR	3	13	288	9.931034483	29	41	30	10	8	1	0
Michael Speaks	MID	3	11	222	8.222222222	27	36	1	9	8	0	0
Matt Chapman	MID	3	10	175	8.333333333	21	20	8	6	5	0	0
Alex Cook	FOR	1	10	172	8.19047619	21	32	12	3	4	0	0
Adam Young	DEF	1	10	171	9	19	44	0	3	3	0	0
Rob Leighton	FOR	1	10	171	6.84	25	36	8	2	5	0	0
Ben Taylor	GK	3	10	167	7.952380952	21	10	0	1	5	0	0
Chris Hodnett	MID	2	9	170	6.071428571	28	18	1	3	5	0	0
James Hassall	DEF	3	9	157	6.826086957	23	16	0	2	7	1	0
Geraint 'Gaz' Jones	MID	3	9	155	6.2	25	31	0	2	5	0	0
Huw Escott	DEF	3	9	154	6.695652174	23	9	0	2	7	1	0
Fraser Wills	DEF	3	9	148	6.434782609	23	4	2	2	8	0	1
Charlie Perrett	FOR	2	9	146	7.3	20	32	12	4	4	0	0
Tom 'Dicky' Dickson	DEF	1	9	146	6.347826087	23	22	1	1	5	2	0
Gav Smith	DEF	3	9	145	6.304347826	23	19	0	1	6	1	1
Alex Berman	MID	1	9	143	6.5	22	14	4	6	5	0	0
Ollie McCall	MID	1	9	136	6.8	20	48	1	0	4	0	0
Adam Fielding	DEF	3	9	115	8.846153846	13	25	2	0	4	0	0
James 'Beanie' Bean	FOR	1	8	128	5.333333333	24	24	4	3	5	0	0
Danny 'Boyley' Boyle	FOR	4	8	117	6.157894737	19	16	7	5	2	0	0
Ian Blackburn	DEF	1	8	116	6.444444444	18	14	0	4	3	0	0
Jeven Clare	DEF	3	8	115	6.052631579	19	3	0	1	6	0	0
Jack Perrett	MID	4	8	110	5.238095238	21	16	3	0	1	0	0
Josh Bruges	DEF	2	8	108	6	18	32	1	0	1	0	0
Jack Presley	FOR	2	8	108	4.695652174	23	12	3	5	5	0	0
Jamie Worman	MID	4	8	106	5.888888889	18	21	4	3	2	0	0
Joe Galley	MID	3	8	95	5	19	9	1	3	3	0	0
Pete Mooney	FOR	2	8	94	4.7	20	6	3	1	3	2	0
Jonny Sadler	DEF	4	8	91	4.333333333	21	14	0	0	1	0	0
Pete Joslin	DEF	4	8	90	4.736842105	19	19	0	0	1	1	0
Regan Kelly	FOR	3	8	88	6.285714286	14	23	2	3	2	0	0
Sam Payne	MID	3	8	88	5.5	16	21	1	2	2	0	0
Ben Elsom	DEF	2	8	87	6.214285714	14	16	1	0	2	0	0
Matt Davenport	FOR	4	8	87	4.142857143	21	8	5	4	1	0	0
Kevin 'Bingo' McCarron	FOR	4	8	86	5.058823529	17	14	6	3	1	0	0
Chryst N'Semi	MID	4	8	83	6.916666667	12	26	0	0	0	0	0
Phil Maclean	GK	4	8	82	8.2	10	10	0	0	0	0	0
Will Coleman	FOR	2	8	81	8.1	10	19	8	2	3	1	0
Lewis Campbell	MID	3	8	81	5.4	15	8	1	0	4	0	0
